name,description
Air Lock,"While this Pokemon is active, the effects of weather conditions are disabled."
Arena Trap,Prevents opposing Pokemon from choosing to switch out unless they are airborne.
Battle Armor,This Pokemon cannot be struck by a critical hit.
Blaze,"At 1/3 or less of its max HP, this Pokemon's Fire-type attacks have 1.5x power."
Chlorophyll,"If Sunny Day is active, this Pokemon's Speed is doubled."
Clear Body,Prevents other Pokemon from lowering this Pokemon's stat stages.
Cloud Nine,"While this Pokemon is active, the effects of weather conditions are disabled."
Color Change,"This Pokemon's type changes to the type of a move it's hit by, unless it has the type."
Compound Eyes,This Pokemon's moves have their accuracy multiplied by 1.3.
Cute Charm,1/3 chance of infatuating Pokemon of the opposite gender if they make contact.
Damp,Prevents Explosion and Self-Destruct while this Pokemon is active.
Drizzle,"On switch-in, this Pokemon summons Rain Dance."
Drought,"On switch-in, this Pokemon summons Sunny Day."
Early Bird,This Pokemon's sleep counter drops by 2 instead of 1.
Effect Spore,10% chance of poison/paralysis/sleep on others making contact with this Pokemon.
Flame Body,1/3 chance a Pokemon making contact with this Pokemon will be burned.
Flash Fire,This Pokemon's Fire attacks do 1.5x damage if hit by one Fire move; Fire immunity.
Forecast,"Castform's type changes to the current weather condition's type, except Sandstorm."
Guts,"If this Pokemon is statused, its Attack is 1.5x; ignores burn halving physical damage."
Huge Power,This Pokemon's Attack is doubled.
Hustle,This Pokemon's Attack is 1.5x and accuracy of its physical attacks is 0.8x.
Hyper Cutter,Prevents other Pokemon from lowering this Pokemon's Attack stat stage.
Illuminate,No competitive use.
Immunity,This Pokemon cannot be poisoned. Gaining this Ability while poisoned cures it.
Inner Focus,This Pokemon cannot be made to flinch.
Insomnia,This Pokemon cannot fall asleep. Gaining this Ability while asleep cures it.
Intimidate,"On switch-in, this Pokemon lowers the Attack of opponents by 1 stage."
Keen Eye,Prevents other Pokemon from lowering this Pokemon's accuracy stat stage.
Levitate,This Pokemon is immune to Ground.
Lightning Rod,This Pokemon draws single-target Electric moves used by opponents to itself.
Limber,This Pokemon cannot be paralyzed. Gaining this Ability while paralyzed cures it.
Liquid Ooze,This Pokemon damages those draining HP from it for as much as they would heal.
Magma Armor,This Pokemon cannot be frozen. Gaining this Ability while frozen cures it.
Magnet Pull,"Prevents Steel-type Pokemon from choosing to switch out, other than this Pokemon."
Marvel Scale,"If this Pokemon has a non-volatile status condition, its Defense is multiplied by 1.5."
Minus,"If an active Pokemon has the Plus Ability, this Pokemon's Sp. Atk is 1.5x."
Natural Cure,This Pokemon has its non-volatile status condition cured when it switches out.
Oblivious,This Pokemon cannot be infatuated. Gaining this Ability while infatuated cures it.
Overgrow,"At 1/3 or less of its max HP, this Pokemon's Grass-type attacks have 1.5x power."
Own Tempo,This Pokemon cannot be confused.
Pickup,No competitive use.
Plus,"If an active Pokemon has the Minus Ability, this Pokemon's Sp. Atk is 1.5x."
Poison Point,1/3 chance a Pokemon making contact with this Pokemon will be poisoned.
Pressure,"If this Pokemon is the target of a move, that move loses one additional PP."
Pure Power,This Pokemon's Attack is doubled.
Rain Dish,"If Rain Dance is active, this Pokemon heals 1/16 of its max HP each turn."
Rock Head,This Pokemon does not take recoil damage besides Struggle and crash damage.
Rough Skin,Pokemon making contact with this Pokemon lose 1/16 of their max HP.
Run Away,No competitive use.
Sand Stream,"On switch-in, this Pokemon summons Sandstorm."
Sand Veil,"If Sandstorm is active, this Pokemon's evasiveness is 1.25x; immunity to Sandstorm."
Serene Grace,This Pokemon's moves have their secondary effect chance doubled.
Shadow Tag,Prevents opposing Pokemon from choosing to switch out.
Shed Skin,This Pokemon has a 33% chance to have its status cured at the end of each turn.
Shell Armor,This Pokemon cannot be struck by a critical hit.
Shield Dust,This Pokemon is not affected by the secondary effect of another Pokemon's attack.
Soundproof,"This Pokemon is immune to sound-based moves, including Heal Bell."
Speed Boost,This Pokemon's Speed is raised 1 stage at the end of each full turn on the field.
Static,1/3 chance a Pokemon making contact with this Pokemon will be paralyzed.
Stench,No competitive use.
Sticky Hold,This Pokemon cannot lose its held item due to another Pokemon's Ability or attack.
Sturdy,OHKO moves fail when used against this Pokemon.
Suction Cups,This Pokemon cannot be forced to switch out by another Pokemon's attack or item.
Swarm,"At 1/3 or less of its max HP, this Pokemon's Bug-type attacks have 1.5x power."
Swift Swim,"If Rain Dance is active, this Pokemon's Speed is doubled."
Synchronize,"If another Pokemon burns/poisons/paralyzes this Pokemon, it also gets that status."
Thick Fat,Fire-/Ice-type moves against this Pokemon deal damage with a halved Sp. Atk stat.
Torrent,"At 1/3 or less of its max HP, this Pokemon's Water-type attacks have 1.5x power."
Trace,"On switch-in, or when it can, this Pokemon copies a random adjacent foe's Ability."
Truant,This Pokemon skips every other turn instead of using a move.
Vital Spirit,This Pokemon cannot fall asleep. Gaining this Ability while asleep cures it.
Volt Absorb,This Pokemon heals 1/4 its max HP when hit by a damaging Electric move; immunity.
Water Absorb,This Pokemon heals 1/4 of its max HP when hit by Water moves; Water immunity.
Water Veil,This Pokemon cannot be burned. Gaining this Ability while burned cures it.
White Smoke,Prevents other Pokemon from lowering this Pokemon's stat stages.
Wonder Guard,This Pokemon is only damaged by supereffective moves and indirect damage.
