name,type,damage_type,power,accuracy,pp,description
Absorb,Grass,Special,20,100%,20,User recovers 50% of the damage dealt.
Acid,Poison,Physical,40,100%,30,10% chance to lower the foe(s) Defense by 1.
Acid Armor,Poison,Non-Damaging,—,—,40,Raises the user's Defense by 2.
Aerial Ace,Flying,Physical,60,—,20,This move does not check accuracy.
Aeroblast,Flying,Physical,100,95%,5,High critical hit ratio.
Agility,Psychic,Non-Damaging,—,—,30,Raises the user's Speed by 2.
Air Cutter,Flying,Physical,55,95%,25,High critical hit ratio. Hits adjacent foes.
Amnesia,Psychic,Non-Damaging,—,—,20,Raises the user's Sp. Def by 2.
Ancient Power,Rock,Physical,60,100%,5,10% chance to raise all stats by 1 (not acc/eva).
Arm Thrust,Fighting,Physical,15,100%,20,Hits 2-5 times in one turn.
Aromatherapy,Grass,Non-Damaging,—,—,5,Cures the user's party of all status conditions.
Assist,Normal,Non-Damaging,—,—,20,Uses a random move known by a team member.
Astonish,Ghost,Physical,30,100%,15,30% chance to make the target flinch.
Attract,Normal,Non-Damaging,—,100%,15,A target of the opposite gender gets infatuated.
Aurora Beam,Ice,Special,65,100%,20,10% chance to lower the target's Attack by 1.
Barrage,Normal,Physical,15,85%,20,Hits 2-5 times in one turn.
Barrier,Psychic,Non-Damaging,—,—,30,Raises the user's Defense by 2.
Baton Pass,Normal,Non-Damaging,—,—,40,"User switches, passing stat changes and more."
Beat Up,Dark,Special,10,100%,10,All healthy allies aid in damaging the target.
Belly Drum,Normal,Non-Damaging,—,—,10,User loses 50% max HP. Maximizes Attack.
Bide,Normal,Physical,—,100%,10,Waits 2 turns; deals double the damage taken.
Bind,Normal,Physical,15,75%,20,Traps and damages the target for 2-5 turns.
Bite,Dark,Special,60,100%,25,30% chance to make the target flinch.
Blast Burn,Fire,Special,150,90%,5,User cannot move next turn.
Blaze Kick,Fire,Special,85,90%,10,High critical hit ratio. 10% chance to burn.
Blizzard,Ice,Special,120,70%,5,10% chance to freeze foe(s).
Block,Normal,Non-Damaging,—,—,5,Prevents the target from switching out.
Body Slam,Normal,Physical,85,100%,15,30% chance to paralyze the target.
Bone Club,Ground,Physical,65,85%,20,10% chance to make the target flinch.
Bone Rush,Ground,Physical,25,80%,10,Hits 2-5 times in one turn.
Bonemerang,Ground,Physical,50,90%,10,Hits 2 times in one turn.
Bounce,Flying,Physical,85,85%,5,Bounces turn 1. Hits turn 2. 30% paralyze.
Brick Break,Fighting,Physical,75,100%,15,"Destroys screens, even if the target is immune."
Bubble,Water,Special,20,100%,30,10% chance to lower the foe(s) Speed by 1.
Bubble Beam,Water,Special,65,100%,20,10% chance to lower the target's Speed by 1.
Bulk Up,Fighting,Non-Damaging,—,—,20,Raises the user's Attack and Defense by 1.
Bullet Seed,Grass,Special,10,100%,30,Hits 2-5 times in one turn.
Calm Mind,Psychic,Non-Damaging,—,—,20,Raises the user's Sp. Atk and Sp. Def by 1.
Camouflage,Normal,Non-Damaging,—,—,20,Changes user's type based on terrain. (Normal)
